TITLE;AUTHOR;EDITION;DESCRIPTION;LINECODE;IMAGE;TYPE;TITLEEXTENTION;ORIGIN;EDITIONINFO;VOLUMEID;VOLUMETITEL;ID;PUBYEAR;PUBFREE;Kapitel in Edition?;Zerlegung erforderlich?;Spalte1;Datum Zitat GND;Datum Zitat VL;Stellenangabe VL;Datum von;Datum bis;Datum Abweichung;Norm Werk WikiData;Norm Werk GND;MWB-Sigle;Norm Bibl DND;Norm Bibl Google Books;Norm Bibl ÖNB
Burggraf von Regensburg;126;Des Minnesangs Frühling. Unter Benutzung der Ausgaben von Karl Lachmann und Moriz Haupt, Friedrich Vogt und Carl von Kraus bearbeitet von Hugo Moser und Helmut Tervooren. 36., neugestaltete und erweiterte Auflage. Stuttgart: S. Hirzel Verlag 1977.;"Lemmatisiert, aber noch nicht disambiguiert

Auszug aus MF nach einzelnen Abschnitten/Autoren. 

Verschiedene Überlieferungen sind als große fortlaufende Kapitelnummer vor dem jeweils ersten Lied gekennzeichnet. Beispiel: Die AC-Überlieferung bei Spervogel ist als Kapitel 1, die J-Überlieferung als Kapitel 2 gekennzeichnet. 

Soll der gesamte MF durchsucht werden, müssen alle dazugehörenden Abschnitte (MNL=MF Namenlose Lieder; MAD= MF Engelhart von Adelnburg) angeleuchtet werden. 

Die Groß-/Kleinschreibung entspricht aus technischen Gründen nur teilweise der Edition.";000000000000cddss--;;81;Minnesangs Frühling;;;MSF;Minnesangs Frühling;MBR;;;Ja;Ja;;;;;;;;;;;;;
Burggraf von Rietenburg;127;Des Minnesangs Frühling. Unter Benutzung der Ausgaben von Karl Lachmann und Moriz Haupt, Friedrich Vogt und Carl von Kraus bearbeitet von Hugo Moser und Helmut Tervooren. 36., neugestaltete und erweiterte Auflage. Stuttgart: S. Hirzel Verlag 1977.;"Lemmatisiert, aber noch nicht disambiguiert

Auszug aus MF nach einzelnen Abschnitten/Autoren. 

Verschiedene Überlieferungen sind als große fortlaufende Kapitelnummer vor dem jeweils ersten Lied gekennzeichnet. Beispiel: Die AC-Überlieferung bei Spervogel ist als Kapitel 1, die J-Überlieferung als Kapitel 2 gekennzeichnet. 

Soll der gesamte MF durchsucht werden, müssen alle dazugehörenden Abschnitte (MNL=MF Namenlose Lieder; MAD= MF Engelhart von Adelnburg) angeleuchtet werden. 

Die Groß-/Kleinschreibung entspricht aus technischen Gründen nur teilweise der Edition.";000000000000cddss--;;81;Minnesangs Frühling;;;MSF;Minnesangs Frühling;MRB;;;Ja;Ja;;;;;;;;;;;;;
Herger;144;Des Minnesangs Frühling. Unter Benutzung der Ausgaben von Karl Lachmann und Moriz Haupt, Friedrich Vogt und Carl von Kraus bearbeitet von Hugo Moser und Helmut Tervooren. 36., neugestaltete und erweiterte Auflage. Stuttgart: S. Hirzel Verlag 1977.;"Lemmatisiert, aber noch nicht disambiguiert

Auszug aus MF nach einzelnen Abschnitten/Autoren. 

Verschiedene Überlieferungen sind als große fortlaufende Kapitelnummer vor dem jeweils ersten Lied gekennzeichnet. Beispiel: Die AC-Überlieferung bei Spervogel ist als Kapitel 1, die J-Überlieferung als Kapitel 2 gekennzeichnet. 

Soll der gesamte MF durchsucht werden, müssen alle dazugehörenden Abschnitte (MNL=MF Namenlose Lieder; MAD= MF Engelhart von Adelnburg) angeleuchtet werden. 

Die Groß-/Kleinschreibung entspricht aus technischen Gründen nur teilweise der Edition.";000000000000cddss--;;81;Minnesangs Frühling;;;MSF;Minnesangs Frühling;MHG;;;Ja;Ja;;;;;;;;;;;;;
Heinrich von Veldeke;41;Des Minnesangs Frühling. Unter Benutzung der Ausgaben von Karl Lachmann und Moriz Haupt, Friedrich Vogt und Carl von Kraus bearbeitet von Hugo Moser und Helmut Tervooren. 36., neugestaltete und erweiterte Auflage. Stuttgart: S. Hirzel Verlag 1977.;"Ab Lied 34 sind die weiteren Lieder in der Edition als ""Pseudo-Veldeke"" ausgewiesen.

Lemmatisiert, aber noch nicht disambiguiert

Auszug aus MF nach einzelnen Abschnitten/Autoren. 

Verschiedene Überlieferungen sind als große fortlaufende Kapitelnummer vor dem jeweils ersten Lied gekennzeichnet. 

Die Groß-/Kleinschreibung entspricht aus technischen Gründen nur teilweise der Edition.";000000000000cddss--;;81;Minnesangs Frühling;;;MSF;Minnesangs Frühling;MHV;;;Ja;Ja;;;;;;;;;;;;;
Dietmar von Eist;145;Des Minnesangs Frühling. Unter Benutzung der Ausgaben von Karl Lachmann und Moriz Haupt, Friedrich Vogt und Carl von Kraus bearbeitet von Hugo Moser und Helmut Tervooren. 36., neugestaltete und erweiterte Auflage. Stuttgart: S. Hirzel Verlag 1977.;"Lemmatisiert, aber noch nicht disambiguiert

Auszug aus MF nach einzelnen Abschnitten/Autoren. 

Verschiedene Überlieferungen sind als große fortlaufende Kapitelnummer vor dem jeweils ersten Lied gekennzeichnet. Beispiel: Die AC-Überlieferung bei Spervogel ist als Kapitel 1, die J-Überlieferung als Kapitel 2 gekennzeichnet. 

Soll der gesamte MF durchsucht werden, müssen alle dazugehörenden Abschnitte (MNL=MF Namenlose Lieder; MAD= MF Engelhart von Adelnburg) angeleuchtet werden. 

Die Groß-/Kleinschreibung entspricht aus technischen Gründen nur teilweise der Edition.";000000000000cddss--;;81;Minnesangs Frühling;;;MSF;Minnesangs Frühling;MDE;;;Ja;Ja;;;;;;;;;;;;;
Kaiser Heinrich;164;Des Minnesangs Frühling. Unter Benutzung der Ausgaben von Karl Lachmann und Moriz Haupt, Friedrich Vogt und Carl von Kraus bearbeitet von Hugo Moser und Helmut Tervooren. 36., neugestaltete und erweiterte Auflage. Stuttgart: S. Hirzel Verlag 1977.;"Lemmatisiert, aber noch nicht disambiguiert

Auszug aus MF nach einzelnen Abschnitten/Autoren. 

Verschiedene Überlieferungen sind als große fortlaufende Kapitelnummer vor dem jeweils ersten Lied gekennzeichnet. Beispiel: Die AC-Überlieferung bei Spervogel ist als Kapitel 1, die J-Überlieferung als Kapitel 2 gekennzeichnet. 

Soll der gesamte MF durchsucht werden, müssen alle dazugehörenden Abschnitte (MNL=MF Namenlose Lieder; MAD= MF Engelhart von Adelnburg) angeleuchtet werden. 

Die Groß-/Kleinschreibung entspricht aus technischen Gründen nur teilweise der Edition.";000000000000cddss--;;81;Minnesangs Frühling;;;MSF;Minnesangs Frühling;MKH;;;Ja;Ja;;;;;;;;;;;;;
Friedrich von Hausen;165;Des Minnesangs Frühling. Unter Benutzung der Ausgaben von Karl Lachmann und Moriz Haupt, Friedrich Vogt und Carl von Kraus bearbeitet von Hugo Moser und Helmut Tervooren. 36., neugestaltete und erweiterte Auflage. Stuttgart: S. Hirzel Verlag 1977.;"Lemmatisiert, aber noch nicht disambiguiert

Auszug aus MF nach einzelnen Abschnitten/Autoren. 

Verschiedene Überlieferungen sind als große fortlaufende Kapitelnummer vor dem jeweils ersten Lied gekennzeichnet. Beispiel: Die AC-Überlieferung bei Spervogel ist als Kapitel 1, die J-Überlieferung als Kapitel 2 gekennzeichnet. 

Soll der gesamte MF durchsucht werden, müssen alle dazugehörenden Abschnitte (MNL=MF Namenlose Lieder; MAD= MF Engelhart von Adelnburg) angeleuchtet werden. 

Die Groß-/Kleinschreibung entspricht aus technischen Gründen nur teilweise der Edition.";000000000000cddss--;;81;Minnesangs Frühling;;;MSF;Minnesangs Frühling;MFH;;;Ja;Ja;;;;;;;;;;;;;
Ezzolied;;"Ezzo: ""CANTILENA DE MIRACULIS CHRISTI"" (Handschrift V). Aus: Althochdeutsches Lesebuch, 16. Aufl., hrsg. v.W. Braune/ A. Ebbinghaus. Tübingen 1979.";"Lemmatisiert, aber noch nicht disambiguiert.

Die Groß-/Kleinschreibung entspricht aus technischen Gründen nur teilweise der Edition.";0000000000000000---;;4;Hs. V;;;;;EZZ;;;Ja;Nein;;;;;;;;;;;;;
Frauenbuch (Spechtler);5;Frauenbuch / Ulrich von Liechtenstein. Hrsg. v. Franz Viktor Spechtler. Göppingen: Kümmerle, 1989. (= Göppinger Arbeiten zur Germanistik, Nr. 520);"Lemmatisiert, aber noch nicht disambiguiert.

Die Groß-/Kleinschreibung entspricht aus technischen Gründen nur teilweise der Edition.";000000000000000----;;244;;;;;;FBS;1989;1;Nein;Nein;;;;;;;;;;;;;
Frauendienst (Spechtler);5;Frauendienst / Ulrich von Liechtenstein. Hrsg. v. Franz Viktor Spechtler. Göppingen: Kümmerle, 1987. (= Göppinger Arbeiten zur Germanistik, Nr. 485);"Lemmatisiert, aber noch nicht disambiguiert.



Kommentarzeilen deuten auf den Einschub der Lieder. 



Eingeschobene Lieder, Buechlîn und Briefe sind als jeweils separate Texte gefu.hrt.

Die Groß-/Kleinschreibung entspricht aus technischen Gründen nur teilweise der Edition.";000000000000ssss00-;;62;Epik, Spechtler;;;;;FDS;1987;1;Nein;Nein;;;;;;;;;;;;;
Flore und Blanscheflur;40;Konrad Fleck: Flore und Blanscheflur. Hrsg. v. Emil Sommer. Quedlinburg und Leipzig 1846.;"Lemmatisiert, aber nicht disambiguiert.

Die Groß-/Kleinschreibung entspricht aus technischen Gründen nur teilweise der Edition.";000000000000000----;;14;;;;;;FLO;;;Nein;Nein;;;;;;;;;;;;;
Garel von dem blüenden Tal;32;Garel von dem blüenden Tal von dem Pleier, hrsg. v. Wolfgang Herles, Wien 1981. (=Wiener Arbeiten z. germ. Altertumskunde und Philologie 17);"Noch nicht lemmatisiert und disambiguiert.



Der Text weist Einschübe nach den Versen (71;178;293;564;579;1124;1243;1362;

2146;2233;3109;3604;4990;5423;6227;

6985;7230;7674;7717;7824;9185;10486;13685;13742;14609;14618;18381;18758;19087;19296) auf.



Enstanden ca. 1260-1270.

Die Groß-/Kleinschreibung entspricht aus technischen Gründen nur teilweise der Edition.";0000000000000-----i;;16;;;;;;GAR;;;Nein;Nein;;;;;;;;;;;;;
Gregorius;2;Hartmann von Aue: Gregorius. Hrsg. v. Hermann Paul. 13., neu bearbeitete Auflage, besorgt von Burghart Wachinger, Tübingen 1984. (= ATB 2);"Lemmatisiert, aber nicht disambiguiert.

Die Groß-/Kleinschreibung entspricht aus technischen Gründen nur teilweise der Edition.";000000000000000----;;4;;;"Cologny, Fondation Martin Bodmer, Cod. Bodmer 62(f. 7v-44v);

Südostdeutscher Raum, Zweite Hälfte 14. Jahrhundert.";;;GR;1984;1;Nein;Nein;;;;;;;;;;;;;
Der heilige Georg;14;"Reinbot von Durne: Der heilige Georg.

Nach sämtl. Handschriften hrsg. v. Carl von Kraus. Heidelberg 1907.(= Germanist. Bibl. Dritte Abt. Kritische Ausgaben Altdeutscher Texte, Band 1)";"Lemmatisiert, aber nicht disambiguiert.



Der Text weist Überschriften auf.

Die Groß-/Kleinschreibung entspricht aus technischen Gründen nur teilweise der Edition.";00000000000000----h;;4;;;;;;GRG;;;Nein;Nein;;;;;;;;;;;;;
Karl der Grosse;4;"Stricker: Karl der Grosse. Hrsg. v. Karl Bartsch. In: Texte des Mittelalters"" hrsg. v. Karl Stackmann.Quedlinburg/ Leipzig 1857.(= Bibl. der ges. dt. Nationallit., Bd. 35)";"Lemmatisiert, aber noch nicht disambiguiert.





Die Groß-/Kleinschreibung entspricht aus technischen Gründen nur teilweise der Edition.";00000000000000-----;;7;;;;;;KAR;1857;1;Ja;Nein;;;;;;;;;;;;;
Die Klage;;"Der Nibelunge Noth und Die Klage. Nach der ältesten Überl. mit Bez. des Unechten und mit den Abweichungen d. gem. Lesart hrsg. v. Karl Lachmann.

6. Ausg. Berlin 1960. S. 303 - 370.";"Lemmatisiert, aber nicht disambiguiert.



Text weist Überschriften auf.

Die Groß-/Kleinschreibung entspricht aus technischen Gründen nur teilweise der Edition.";00000000000000----h;1396;2;;"Zur Datierung der 'Klage' gibt es unterschiedliche Auffassungen, die zwischen 1200 und 1230 variieren, die aktuelle Forschung (z.B. Henkel, siehe Literaturverzeichnis) vermutet frühen Zeitpunkt innerhalb dieses Rahmens, da die zurückverfolgbare schriftliche Überlieferung der Klage immer an das 'Lied' gekoppelt war. Als Entstehungsort wird heute allgemein das heutige Österreich oder Ostbayern angenommen. Konkret scheint vieles für Passau als Ort der Entstehung sowohl des Liedes als auch der Klage zu sprechen. Außerdem scheint es, dass Lied und Klage von zwei unterschiedlichen Dichtern verfasst wurden. Beide sind allerdings anonym geblieben. Die Art und Weise der Klagedichtung lässt annehmen, dass es sich bei dem Dichter um einen Kleriker gehandelt hat. Tradiert sind verschiedene Fassungen der 'Klage' nebeneinander, die C-Fassungen von Nibelungenklage und Nibelungenlied galten vermutlich als die beliebteste Version (vgl. Henkel 2005, S. 213).



Obwohl eine enge Verbindung zwischen Nibelungenlied und –klage zu bestehen scheint, hat sie in der neuzeitlichen Germanistik nie dasselbe Interesse gefunden wie das Nibelungenlied. In der Forschung wird die Klage allgemein als nicht so hochrangig und bedeutsam wie das Lied angesehen, vor allem, weil die Klage eine größere Fülle an Einzelheiten hinsichtlich Personen und Ereignissen aufweist.



Die Klage besteht aus vierhebigen Paarreimversen und bedient sich damit der verbreiteten Form der historischen Epik und des höfischen Romans, d.h. der Vorleseepik, während das Lied in sangbaren vierzeiligen Strophen gedichtet ist (Sangversepik). Eine eindeutige Gattungszuordnung ist nicht möglich, was insbesondere die Germanistik des 19. Jahrhunderts dazu veranlasste, die 'Klage' als minderwertige Literatur einzustufen.

(http://de.wikipedia.org/wiki/Nibelungenklage)";;;;KLA;;;Nein;Nein;;;;;;;;;;;;;
Kudrun;;Kudrun. Hrsg. v. Karl Bartsch. 5. Aufl. u.berarb. und neu eingel. v. Karl Stackmann. Wiesbaden 1965.(= Deutsche Klassiker des Mittelalters);"Lemmatisiert, aber nicht disambiguiert.

Die Groß-/Kleinschreibung entspricht aus technischen Gründen nur teilweise der Edition.";00000000000000ssss-;;2;;;;;;KU;;;Nein;Nein;;;;;;;;;;;;;
Ortnit;;"Ortnit. Aus: Ortnit und die Wolfdietrich. Hrsg. v. Arthur Amelung u. Oskar Jaenicke, Berlin 1871. (=Deutsches Heldenbuch, 3 = Ortnit Und Die

Wolfdietriche)";"Nicht lemmatisiert und disambiguiert.



Der Text weist U.berschriften auf.

Die Groß-/Kleinschreibung entspricht aus technischen Gründen nur teilweise der Edition.";00000000000000sss-h;;2;;;;;;ORT;;;;;;;;;;;;;;;;;
Partonopier und Meliur;1;Konrad von Würzburg: Partonopier und Meliur. Hrsg. v. Karl Bartsch. Berlin 1970.;"Lemmatisiert, aber noch nicht disambiguiert.

Die Groß-/Kleinschreibung entspricht aus technischen Gründen nur teilweise der Edition.";00000000000000-----;;14;;;;;;PRT;1970;1;;;;;;;;;;;;;;;
Rennewart;34;Ulrich von Türheim: Rennewart. Aus der Berliner und Heidelberger Handschrift, hrsg. v. Alfred Hübner. Berlin 1938. (=Deutsche Texte des Mittelalters, hrsg. v. der Preuss. Akad. der Wiss., Bd. 39;"Noch nicht lemmatisiert und disambiguiert.



Der Text hat 36519 Verszeilen, beginnend mit Vers 1 und weist nach den folgenden Zeilen (986;2226;15236; 16973;21152;25188;26006;30798;34980) Einschübe auf.





Die Groß-/Kleinschreibung entspricht aus technischen Gründen nur teilweise der Edition.";0000000000000-----i;;7;;;;;;REN;;;;;;;;;;;;;;;;;
Salman und Morolf;;"Salman und Morolf, hrsg. v. Alfred Karnein, Tübingen 1979 (=Altdeutsche 

Textbibliothek; Nr.85)";"Lemmatisiert, aber noch nicht disambiguiert.



Der Text weist Einschübe auf.



Entstanden um 1180/90. Stammt vermutlich von einem rheinfränk. Dichter.

Die Groß-/Kleinschreibung entspricht aus technischen Gründen nur teilweise der Edition.";0000000000000sss--i;;304;;;;;;SAL;1979;0;;;;;;;;;;;;;;;
Sigenot;;"Sigenot. Abgedruckt In: Dietrichs Abenteuer von Albrecht von Kemenaten.

Nebst den Bruchstücken von Dietrich und Wenezlan. Hrsg v. Julius Zupitza. Berlin 1870.(= Deutsches Heldenbuch, Bd. 5)";"Lemmatisiert, aber nicht disambiguiert.





Die Groß-/Kleinschreibung entspricht aus technischen Gründen nur teilweise der Edition.";000000000000000ss--;;2;;;;;;SIG;;;;;;;;;;;;;;;;;
Der Schwanritter;1;In: Kleinere Dichtgg. Konrad von Würzburgs. II. Hrsg. v. Edward Schröder, o.O. 5.Aufl. 1974;"Text beginnt mit Zeile 141.



Lemmatisiert, aber nicht disambiguiert.

Die Groß-/Kleinschreibung entspricht aus technischen Gründen nur teilweise der Edition.";000000000000000----;;3;;;;;;SW;1974;1;;;;;;;;;;;;;;;
Virginal;;"Virginal. In: Dietrichs Abenteuer von Albrecht von Kemenaten. Nebst den Bruchstücken von Dietrich und Wenezlan. Hrsg. v. Julius Zupitza. Berlin 1870. (=Deutsches Heldenbuch, Bd.5)

S.1-200.";"Lemmatisiert, aber nicht disambiguiert.

Die Groß-/Kleinschreibung entspricht aus technischen Gründen nur teilweise der Edition.";0000000000000ssss--;1478;2;;"Die vollständig erhaltenen Handschriften enthalten selbständige Textversionen, darum unterscheidet man zwischen Heidelberger, Dresdner und Wiener Virginal. Neben diesen vollständigen Handschriften gibt es noch 10 Fragmente, die im Wesentlichen mit der Heidelberger Virginal übereinstimmen.



Im Heidelberger Virginal (Cpg 324; Papierhandschrift, um 1440, 1097 Strophen) ziehen Hildebrand und Dietrich ins Waldgebirge von Tirol, um gegen den Heiden Orkise zu kämpfen, der in das Land der Königin Virginal eingefallen ist. 



Im Dresdner Virginal (Mscr. M 201; Papier, 1472, Teil des Dresdner Heldenbuches, 130 Strophen) fehlt der Muter-Teil. Im Arona-Teil kommt Fürst Libertin von Palerne nach Arona, fordert Dietrich zum Zweikampf, wird besiegt und schließt mit ihm Freundschaft. Hildebrand, Helferich, Rentwin sowie Libertin werden auf dem Weg von Arona nach Jeraspunt von Janapas, dem Sohn Orkises, nach Burg Orteneck eingeladen. Dort geraten sie in einen Hinterhalt, müssen mit Löwen, Janapas und seinen Leuten kämpfen und können drei weitere Mädchen befreien, die Orkise als Tribut nach Orteneck gebracht hatte. Dietrich hat unterdessen einen Eber erlegt, doch muss er gegen einen Riesen kämpfen, der das Jagdrecht in diesem Gebiet in Anspruch nimmt. Dietrich besiegt ihn und nimmt ihn gefangen. Dann ziehen sie nach Jeraspunt, das Fest dort endet mit der Heirat von Dietrich und Virginal.



Die Wiener Virginal (ÖNB, Cod. 15478; Papier, 1480/90, 866 Strophen) ist ein Mischtext aus Heidelberger- und Dresdner Virginal. Sie enthält auch die Libertin- und Janapas-Episode, Dietrichs Eberjagd mit Riesenkampf und seine Hochzeit mit Virginal. (http://de.wikipedia.org/wiki/Virginal_(Dietrichepik))";;;;VIR;;;;;;;;;;;;;;;;;
Titurel;7;Wolfram von Eschenbach: Titurel. In: Wolfram von Eschenbach.  Hrsg. v. Albert Leitzmann. Heft 5. 4. Auflage, Tübingen 1956.;"Lemmatisiert, aber noch nicht disambiguiert.



Der Text enthält Überschriften.

Die Groß-/Kleinschreibung entspricht aus technischen Gründen nur teilweise der Edition.";0000000000000sss0-h;;16;;;;;;TIT;1956;1;;;;;;;;;;;;;;;
Herzmaere;1;"Heinrich von Kempten. Konrad von Würzburg. In: Kleinere Dichtungen

Konrads von Würzburg. Hrsg.: E. Schröder. 10. Aufl. 1970.";"Voll lemmatisiert und disambiguiert.

Die Groß-/Kleinschreibung entspricht aus technischen Gründen nur teilweise der Edition.";0000000000000000---;;3;;;"Cologny, Fondation Martin Bodmer, Cod. Bodmer 72(f. 166r); Nordwestböhmen/Oberfranken/südl.

Vogtland, Erstes Viertel 14.Jahrhundert";;;HZ;1970;1;;;;;;;;;;;;;;;
Der Welt Lohn;1;In: Kleinere Dichtgg. Konrad von Würzburgs. II. Hrsg. v. Edward Schröder, o.O. 5.Aufl. 1974.;"Vollständig lemmatisiert und disambiguiert.

Die Groß-/Kleinschreibung entspricht aus technischen Gründen nur teilweise der Edition.";0000000000000000---;;3;;;"Cologny, Fondation Martin Bodmer, Cod. Bodmer 72(f. 240v-242r);

Nordwestböhmen/Oberfranken/südl.

Vogtland, Erstes Viertel 14.Jahrhundert";;;WL;1974;1;;;;;;;;;;;;;;;
Wolfdietrich (Hs. A);;Wolfdietrich A. In: Ortnit und die Wolfdietriche, hrsg. v. Arthur Amelung und Oskar Jänicke, Berlin 1871 (Deutsches Heldenbuch, 3).;"Lemmatisiert, aber nicht disambiguiert.

Die Groß-/Kleinschreibung entspricht aus technischen Gründen nur teilweise der Edition.";000000000000000sss-;;2;;;;;;WDA;;;;;;;;;;;;;;;;;
Das Rolandslied;44;Konrad (der Pfaffe): Das Rolandslied (des Pfaffen Konrad). Hrsg. v. Carl Wesle. 3., durchgesehene Auflage besorgt von Peter Wapnewski. Tübingen 1985. (= ATB 69);"Noch nicht lemmatisiert und disambiguiert.



Ein über 'u' geschriebenes 'o' ist zu 'uo' aufgelöst und steht für iu, i, uo oder o.



Die Groß-/Kleinschreibung entspricht aus technischen Gründen nur teilweise der Edition.";000000000000000----;;7;;;;;;ROL;;;;;;;;;;;;;;;;;
Tandareis und Flordibel;32;Hrsg. v. Ferdinand Khull, Graz 1885.;"Lemmatisiert, aber nicht disambiguiert.

Die Groß-/Kleinschreibung entspricht aus technischen Gründen nur teilweise der Edition.";0000000000000-----i;;16;;;;;;TAN;1885;1;;;;;;;;;;;;;;;
Der Trojanische Krieg;1;Konrad von Würzburg: Der Trojanische Krieg. Hrsg. v. Adelbert von Keller. Stuttgart 1858.;"Noch nicht lemmatisiert und disambiguiert.

Die Groß-/Kleinschreibung entspricht aus technischen Gründen nur teilweise der Edition.";00000000000000-----;;10;;;;;;TRO;1858;1;;;;;;;;;;;;;;;
Heinrich von Morungen;244;Des Minnesangs Frühling. Unter Benutzung der Ausgaben von Karl Lachmann und Moriz Haupt, Friedrich Vogt und Carl von Kraus bearbeitet von Hugo Moser und Helmut Tervooren. 36., neugestaltete und erweiterte Auflage. Stuttgart: S. Hirzel Verlag 1977.;"Überlieferung als Kapitel 2 gekennzeichnet. 

Will man den gesamten MF durchsuchen, müssen bei den Einzeltexten entweder alle dazugehörenden Abschnitte (MNL=MF Namenlose Lieder - MAD= MF Engelhart von Adelnburg)angeleuchtet oder ""Texttypen"" angeklickt und  ""Lyrik (Minnesangs Frühling)"" ausgewählt werden. 

Die Groß-/Kleinschreibung entspricht aus technischen Gründen nur teilweise der Edition.";000000000000cddss--;;81;Minnesangs Frühling;;;MSF;Minnesangs Frühling;MHM;;;;;;;;;;;;;;;;;
Graf Rudolf;;"Graf Rudolf. Hrsg. von Peter F. Ganz.

Berlin: E.Schmidt Verlag, 1964. 

(= Philologische Studien und Quellen; Heft 19)";"Lemmatisiert, aber nicht disambiguiert.



Anmerkung zur Versnummerierung: 

Die ersten beiden Stellen bezeichnen die eigene Seitenzahl des Herausgebers, die beiden darauffolgenden die Nummer des Abschnitts und die letzten beiden die Versnummer im Abschnitt.



Die Groß-/Kleinschreibung entspricht aus technischen Gründen nur teilweise der Edition.";0000000000000ppaa--;;14;;;;;;RUD;;;;;;;;;;;;;;;;;
